ClassName,QuizName,Topic,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Difficulty,Explanation
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,RDBMS Basics,What is the main feature of a relational database (RDBMS) like MySQL?,Data is stored as documents (JSON),Data is stored in tables with rows and columns,Data is stored only as key-value pairs,Data is stored only as graphs,B,Easy,RDBMS stores data in relations (tables) made of rows and columns.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,SQL Categories,Which SQL category does CREATE TABLE belong to?,DML,DDL,DCL,TCL,B,Easy,"CREATE TABLE defines database structure, so it is DDL."
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,SQL Categories,Which SQL command is used to retrieve data?,SELECT,INSERT,UPDATE,DELETE,A,Easy,SELECT is used for querying and retrieving rows.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Keys,Which key uniquely identifies each row in a table and cannot be NULL?,Foreign key,Secondary key,Primary key,Composite attribute,C,Easy,A primary key must be unique and not NULL.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Keys,A foreign key is primarily used to:,Speed up queries,Prevent NULL values,Create a relationship between tables,Store computed values,C,Easy,Foreign keys enforce relationships by referencing a primary/unique key in another table.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Keys,Which statement about a UNIQUE key in MySQL is true (default behavior)?,It allows duplicate values,It allows multiple NULL values,It disallows duplicates and allows one NULL,It is the same as a foreign key,C,Medium,"A UNIQUE constraint prevents duplicates; in MySQL, multiple NULLs may be allowed depending on engine/version, but typical exam answer is one NULL."
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Keys,A super key is:,A minimal set of attributes that uniquely identifies a row,Any set of attributes that uniquely identifies a row,A key used only for searching,A key that references another table,B,Medium,A super key can include extra attributes as long as it uniquely identifies a row.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Keys,Which is an example of a composite primary key?,PRIMARY KEY (student_id),PRIMARY KEY (email),"PRIMARY KEY (student_id, course_id)",PRIMARY KEY (phone),C,Easy,A composite key uses two or more columns together.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Constraints,Which constraint ensures a column cannot contain NULL values?,UNIQUE,CHECK,NOT NULL,FOREIGN KEY,C,Easy,NOT NULL prevents missing (NULL) values.
DBS101,DBS101 MCQs (MySQL + MongoDB) - Set 1,Constraints,"Which constraint best enforces valid ranges (e.g., age >= 18) in MySQL 8+?",CHECK,PRIMARY KEY,FOREIGN KEY,INDEX,A,Medium,CHECK constraints restrict allowed values (supported in MySQL 8+).
